prediction_date,slot,predicted_numbers,actual_number,hit_rank,hit_count,accuracy,script_name,cross_script_hits,cross_date_hits,date,actual,predictions,rank,hit_top1,hit_top5,hit_top10,hit_top15
,FRBD,,,,,,,,,2025-11-05,2.0,"32,64,84,2,44,26,11,37,52,3,36,63,33,0,21",4.0,False,True,True,True
,GZBD,,,,,,,,,2025-11-05,92.0,"20,50,67,91,8,7,89,19,5,23,80,52,82,70,2",,False,False,False,False
,GALI,,,,,,,,,2025-11-05,80.0,"7,50,95,32,5,72,64,54,28,35,39,70,0,11,42",,False,False,False,False
,DSWR,,,,,,,,,2025-11-05,68.0,"0,37,68,88,7,70,89,54,25,13,48,98,11,96,75",3.0,False,True,True,True
,FRBD,,,,,,,,,2025-11-06,60.0,"32,64,84,44,26,3,11,0,37,52,36,63,21,8,49",,False,False,False,False
,GZBD,,,,,,,,,2025-11-06,6.0,"8,50,67,98,91,89,19,80,5,82,23,16,52,28,0",,False,False,False,False
,GALI,,,,,,,,,2025-11-06,73.0,"32,64,95,8,80",,False,False,False,False
,DSWR,,,,,,,,,2025-11-06,94.0,"26,37,68,88,89,54,25,0,7,45,92,48,70,86,96",,False,False,False,False
,FRBD,,,,,,,,,2025-11-07,5.0,"26,64,76,44,52,49,0,37,3,2,36,16,21,5,11",14.0,False,False,False,True
,GZBD,,,,,,,,,2025-11-07,8.0,"8,50,67,52,6,89,5,98,82,23,80,16,19,28,60",1.0,True,True,True,True
,GALI,,,,,,,,,2025-11-07,19.0,"32,64,67,95,0,54,6,96,28,80",,False,False,False,False
,DSWR,,,,,,,,,2025-11-07,85.0,"0,37,68,70,88,7,89,54,69,25,96,48,52,86,9",,False,False,False,False
,FRBD,,,,,,,,,2025-11-08,17.0,"26,64,95,44,50,5,37,16,52,3",,False,False,False,False
,GZBD,,,,,,,,,2025-11-08,79.0,"5,50,67,98,52,89,20,82,23,16",,False,False,False,False
,GALI,,,,,,,,,2025-11-08,53.0,"32,40,72,95,26",,False,False,False,False
,DSWR,,,,,,,,,2025-11-08,8.0,"0,37,68,88,89,7,54,25,48,70,16,10,86,30,11",,False,False,False,False
,FRBD,,,,,,,,,2025-11-09,41.0,"26,44,95,77,15,41,92,38,16,3,64,50,29,36,0",6.0,False,False,True,True
,GZBD,,,,,,,,,2025-11-09,4.0,"16,50,67,89,52,5,98,20,82,23",,False,False,False,False
,GALI,,,,,,,,,2025-11-09,32.0,"32,50,95,72,28",1.0,True,True,True,True
,DSWR,,,,,,,,,2025-11-09,67.0,"24,37,96,68,89,69,7,54,25,48,70,0,52,30,11",,False,False,False,False
,FRBD,,,,,,,,,2025-11-10,54.0,"26,44,92,56,15",,False,False,False,False
,GZBD,,,,,,,,,2025-11-10,2.0,"2,50,67,89,98,52,20,5,23,16",1.0,True,True,True,True
,GALI,,,,,,,,,2025-11-10,64.0,"32,42,95,72,28",,False,False,False,False
,DSWR,,,,,,,,,2025-11-10,51.0,"24,37,68,89,96,92,7,54,69,48,25,70,12,0,52",,False,False,False,False
,FRBD,,,,,,,,,2025-11-11,15.0,"26,44,88,23,37",,False,False,False,False
,GZBD,,,,,,,,,2025-11-11,51.0,"20,50,67,52,98,89,5,4,23,16,19,0,11,2,39",,False,False,False,False
,GALI,,,,,,,,,2025-11-11,57.0,"32,42,95,66,72",,False,False,False,False
,DSWR,,,,,,,,,2025-11-11,37.0,"0,37,68,55,96,36,89,54,69,25,71,48,70,7,52",2.0,False,True,True,True
,FRBD,,,,,,,,,2025-11-12,44.0,"26,44,88,57,38",2.0,False,True,True,True
,GZBD,,,,,,,,,2025-11-12,37.0,"4,50,67,89,99,52,0,5,23,16,19,40,91,11,39",,False,False,False,False
,GALI,,,,,,,,,2025-11-12,5.0,"32,45,95,42,72,93,54,39,96,64,28,24,57,23,0",,False,False,False,False
,DSWR,,,,,,,,,2025-11-12,53.0,"4,37,68,55,89,96,0,54,69,25,48,73,7,52,30",,False,False,False,False
,FRBD,,,,,,,,,2025-11-13,20.0,"26,44,80,15,37,3,64,8,36,16",,False,False,False,False
,GZBD,,,,,,,,,2025-11-13,27.0,"4,50,67,89,52,91,19,5,7,23,16,82,70,0,11",,False,False,False,False
,GALI,,,,,,,,,2025-11-13,13.0,"32,45,95,64,11,0,54,28,42,5,24,93,39,2,96",,False,False,False,False
,DSWR,,,,,,,,,2025-11-13,55.0,"0,37,68,55,89,51,7,15,54,25,48,70,73,52,30",4.0,False,True,True,True
,FRBD,,,,,,,,,2025-11-14,90.0,"26,44,70,1,82",,False,False,False,False
,GZBD,,,,,,,,,2025-11-14,60.0,"2,50,67,52,91,89,19,5,82,23,16,51,20,28,0",,False,False,False,False
,GALI,,,,,,,,,2025-11-14,45.0,"32,45,95,0,54,72,28,61,42,16,2,5,24,39,36",2.0,False,True,True,True
,DSWR,,,,,,,,,2025-11-14,20.0,"0,37,68,55,51,89,7,54,25,48,70,73,52,30,11",,False,False,False,False
,FRBD,,,,,,,,,2025-11-15,23.0,"26,44,70,1,82",,False,False,False,False
